id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
12932501	GEODE	3910	failure	assertionerror expect line	['ci']	3	1	Closed
13328078	GEODE	3910	implement support redis info command	create op command support app command	['pull-request-available']	3	4	Closed
13148464	GEODE	3910	key putifabsent return null regionentry	simultaneous putifabsent call thread return null thread actually create regionentry logging show behavior return null putifabsent mean previous value putentryifabsent create regionentry oldre null event key eventkey entry key rekey identical return non null old value noformat regionentry key key key rawvalue null oldre key key key rawvalue null eventkey key key rekey key key return null noformat noformat regionentry key key key rawvalue null oldre null eventkey key key rekey key key return noformat	['pull-request-available']	3	1	Closed
13131668	GEODE	3910	place code access datapolicy field instead call getdatapolicy	field datapolicy abstractregion protect class directly access field instead call getdatapolicy field private access method	['pull-request-available']	3	7	Closed
13406182	GEODE	3910	constant name redis gemfire property contain	follow constant name configurationproperties rename	['pull-request-available', 'unreleased']	3	1	Closed
13343843	GEODE	3910	thread monitoring service include reply wait member info stuck thread detail	thread monitoring service provide information stuck thread stack dump nice information member thread wait response stuck thread detail	['geodeoperationapi']	3	4	Open
12932500	GEODE	3910	failure	assertionerror expect line	['ci']	3	1	Closed
13198955	GEODE	3910	gfsh destroy jdbc mapping undo gfsh create jdbc mapping	gfsh create jdbc mapping recently change alter region create async event queue gfsh destroy jdbc mapping need correspond change undo create	['pull-request-available']	3	1	Closed
13191265	GEODE	3910	jdbc connector use gfsh jndi bind instead jdbc connection	geode gfsh command create jndi bind create jdbc connection try accomplish goal change jdbc connector use jndi binding instead jdbc connection remove create jdbc connection command remove destroy jdbc connection command remove list jdbc connection command remove describe jdbc connection command remove alter jdbc connnection command	['pull-request-available']	3	4	Resolved
13146344	GEODE	3910	jdbc connector need work database support mixed case identifier	currently jdbc connector convert database column low case region mapping column exist possible database support mixed case identifier case connector honor mixed case column connector create prepared statement string use quote column name string quote database support mixed case quote identifier	['pull-request-available']	3	1	Closed
12859386	GEODE	3910	remove old gfsh code	old version gfsh geode package old version use deprecate apis try remove old gfsh code block removal deprecated apis option remove old gfsh code new gfsh tool support keep old code open source project sense option change old gfsh code use non deprecated apis know kind test coverage exist old gfsh change break detect	['gfsh']	3	4	Closed
13187654	GEODE	3910	geode use single class create instance threadfactory	geode create large number threadfactory instance create anonymous inner class case threadfactory instance pass thread pool thread pool finalizable alive reference finalization take place jvm garbage collector delay finalization long possible anonymous inner class reference outer class instance number place end have reference single gemfirecacheimpl end prevent large heap garbage collect reason avoid code duplication well single utility class take care create threadfactory instance class geode name gemfirecachehelper class google guava threadfactorybuilder	['pull-request-available']	3	4	Resolved
13402025	GEODE	3910	radish publish subscribe operation run server memory	subscribe store datum server memory server eventually run memory operation store datum suppose honor geode critical memory threshold fail lowmemory exception subscribe check critical instead use memory publish add unbound queue process long server run publish op receive burst cause server run memory add queue geode critical memory threshold check server queue publish op need send remote server geode function implementation enhance batch publish op instead time improve performance publish allow free memory fast	['pull-request-available', 'unreleased']	3	1	Closed
13153824	GEODE	3910	update doc long throw unsupportedoperationexception lru heap	tldr think document update change time think early today think change previously throw unsupportedoperationexception user try configure maximum lru heap eviction policy apache geode geode extension gemfire silently return change intentional doc update accordingly	['pull-request-available']	3	1	Closed
13308827	GEODE	3910	fail sockettimeoutexception	occasionally happen shutdownintegrationt failed jedisconnectionexception sockettimeoutexception read time cause sockettimeoutexception read time method	['flaky']	3	6	Closed
13345134	GEODE	3910	log warning message thread wait local resource lock read write certain time interval	similar thread stick certain period log useful log warning message relate thread wait local resource lock read write information thread hold resource	['geodeoperationapi']	3	4	Open
12912031	GEODE	3910	hang	hit hang private build thread dump running process look like stick noformat test worker thread state wait object monitor method lock thread lock offheapmemorymonitor method offheapmemorylistener daemon wait monitor entry thread state blocked object monitor wait lock offheapmemorymonitor noformat look like problem stopmonitore call join memory monitor thread synchronize memory monitor thread stick try lock	['ci']	3	1	Closed
