id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
12985035	MESOS	2531	authenticationtest unauthenticatedslave fail	check fail follow message noformat run authenticationtest unauthenticatedslave abort unix time try date gnu date sigsegv receive pid tid stack trace sigtramp unknown main start check local segmentation fault check error check error check recursive error noformat	['mesosphere']	3	1	Resolved
13084577	MESOS	2531	update master handle update agent total resource	update allocator interface support update total resource agent allocator invocation drive master receive update agent total resource transport update agent master update updateslavemessage add repeat resource total field order distinguish update oversubscribed update total need introduce additional tag field list resource representation absent list resource alternatively introduce new message transport update total possible reuse message external resource provider likely add later point	['mesosphere', 'storage']	3	3	Resolved
13258620	MESOS	2531	nvml isolator disabled make impossible exclude non free code	currently allow disabling link libnvml probably free license make hard include meso distribution require free license add configuration time flag disable feature completely provide free replacement	['autotools', 'cmake']	3	1	Resolved
12902288	MESOS	2531	fetchercachetest localuncachedextract flaky	asf code run fetchercachetest localuncachedextract temporary directory open compacted create iterator seek beginning iterate key replica recover log position hole unlearn start replica recovery replica status replica status receive broadcast recover request receive recover response replica status update replica status starting master start persisting metadata byte leveldb take persisted replica status starting replica starting status flag startup credential share meso webui master master allow authenticated framework register master allow authenticate slave register loading credential authentication credential default authenticator authorization enable whitelist give initialize hierarchical allocator process replica starting status receive broadcast recover request receive recover response replica starting status update replica status voting newly elect leader elect lead master recover registrar recovering registrar persisting metadata byte leveldb take persisted replica status voting successfully join paxos group recover process terminate attempt start writer replica receive implicit promise request proposal persisting metadata byte leveldb take persisted promise coordinator attempe fill miss position replica receive explicit promise request position proposal persist action byte leveldb take persisted action replica receive write request position read position leveldb take persisting action byte leveldb take persisted action replica receive learn notice position persisting action byte leveldb take persisted action replica learn nop action position writer start end position read position leveldb take successfully fetch registry applied operation attempt update registry attempt append byte log coordinator attempt write append action position replica receive write request position persisting action byte leveldb take persisted action replica receive learn notice position persisting action byte leveldb take persisted action replica learn append action position successfully update registry successfully recover registrar attempt truncate log coordinator attempt write truncate action position recover slave registry allow slave register replica receive write request position persisting action byte leveldb take persisted action replica receive learn notice position persisting action byte leveldb take delete key leveldb take persisted action replica learn truncate action position isolation posix cpu posix mem filesystem posix fail create bind backend bindbackend require root privilege slave start flag startup meso store appc cgroup credential meso image docker run mesos store docker fetch cpu posix mem src mesos sandbox systemd system loading credential authentication credential slave credential test principal slave resource slave hostname slave checkpoint true recover state meta recover status update manager recovering containerizer finished recovery query resource estimator oversubscribable resource pausing send status update new master detect authenticating master default cram authenticatee detect new master create new client sasl connection receive oversubscribable resource resource estimator authenticating start authentication session create new server sasl connection receive sasl authentication mechanism cram attempt authenticate mechanism cram receive sasl authentication start authentication require step receive sasl authentication step receive sasl authentication step request lookup property user test principal realm server fqdn false false false look auxiliary property userpassword look auxiliary property cmusaslsecretcram request lookup property user test principal realm server fqdn false false true skip auxiliary property userpassword true skip auxiliary property cmusaslsecretcram true authentication success authentication success successfully authenticate principal test principal authentication session cleanup successfully authenticate master retry registration necessary register slave applied operation attempt update registry attempt append byte log coordinator attempt write append action position replica receive write request position persisting action byte leveldb take persisted action replica receive learn notice position persist action byte leveldb take persisted action replica learn append action position successfully update registry attempt truncate log receive ping slave coordinator attempt write truncate action position replica receive write request position add slave allocate register slave resource available allocate register master give slave clearing fetcher cache inverse offer send perform allocation slave resume send status update persist action byte leveldb take persisted action checkpointing slaveinfo meta slave replica receive learn notice position version forward total oversubscribed resource receive update slave total oversubscribed resource persisting action byte leveldb take delete key leveldb take new master detect persisted action replica learn truncate action position authenticating master default cram authenticatee slave update oversubscribed resource total allocate resource available allocate inverse offer send perform allocation slave create new client sasl connection authenticating scheduler start authentication session create new server sasl connection receive sasl authentication mechanism cram attempt authenticate mechanism cram receive sasl authentication start authentication require step receive sasl authentication step receive sasl authentication step request lookup property user test principal realm server fqdn false false false look auxiliary property userpassword look auxiliary property cmusaslsecretcram request lookup property user test principal realm server fqdn false false true skip auxiliary property userpassword true skip auxiliary property cmusaslsecretcram true authentication success authentication success successfully authenticate principal test principal scheduler authentication session cleanup successfully authenticate master send subscribe retry registration necessary receive subscribe framework default scheduler framework scheduler authenticate test principal set principal frameworkinfo authorize framework principal receive offer role subscribe framework default checkpointing enabled capability add framework framework register take inverse offer send perform allocation slave send offer framework default scheduler take processing accept offer slave framework default scheduler authorize framework principal launch task user meso add task resource slave launch task framework default scheduler resource slave got assign task framework recovered total allocate slave framework checkpointing frameworkinfo meta slave framework framework filter slave checkpointing framework pid scheduler meta slave framework launch task framework checkpointing executorinfo meta slave framework launch executor framework resource work directory slave framework start container executor framework checkpointe taskinfo meta slave framework queue task executor framework successfully attach file slave framework fork child pid container checkpointing executor fork pid meta slave framework pid start fetch uris container directory slave framework fetch uri command src mesos fetcher fail run meso fetcher fail fetch uris container exit status fail synchronize slave probably exit container executor framework fail start fail fetch uris container exit status destroy container wait isolator complete container executor container exit executor framework exit status handle status update uuid task framework terminate task ignore update unknown container receive status update uuid task framework create statusupdate stream task framework checkpointe update status update uuid task framework forward update uuid task framework slave forward update uuid task framework status update manager successfully handle status update uuid task framework status update uuid task framework slave forward status update uuid task framework update late state task framework take recover total allocate slave framework remove task resource framework slave process acknowledge task framework default scheduler slave receive status update acknowledgement uuid task framework checkpointe ack status update uuid task framework clean status update stream task framework status update manager successfully handle status update acknowledgement uuid task framework complete task clean executor framework scheduling slave framework future scheduling slave framework future clean framework scheduling meta slave framework future closing status update stream framework scheduling meta slave framework future scheduling slave framework future scheduling meta slave framework future inverse offer send perform allocation slave send offer framework default scheduler take processing accept offer slave framework default scheduler recovered total allocate slave framework framework filter slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave inverse offer send perform allocation slave send offer framework default scheduler take processing accept offer slave framework default scheduler recovered total allocate slave framework framework filter slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave inverse offer send perform allocation slave send offer framework default scheduler take processing accept offer slave framework default scheduler recovered total allocate slave framework framework filter slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave query resource estimator oversubscribable resource receive oversubscribable resource resource estimator receive ping slave test failure fail wait ask stop driver framework default scheduler disconnected disconnecting framework default scheduler deactivate framework default scheduler give framework default scheduler failover deactivate framework framework failover timeout remove framework default scheduler remove framework default scheduler ask shut framework shut unknown framework master terminate removed framework removed slave exit master disconnect wait new master elect slave terminating fail fetchercachetest localuncachedextract code	['flaky-test', 'mesosphere']	3	1	Resolved
13004523	MESOS	2531	resource leak	coverity detect follow resource leak imo code code code code code duplicate file descriptor libevent ownership control lifecycle separately avoid duplicate file descriptor future version libevent libevent version later use instead return handle open dup assigning handle return int cid argument negative select issue condition take true branch cid resource leak handle variable go scope leak handle return duplicate file descriptor code	['coverity']	3	1	Resolved
13074495	MESOS	2531	add resource provider ids registry	support resource provider registration follow master fail ids register resource provider need keep registry operation commit id registrar need add	['mesosphere', 'storage']	3	3	Resolved
13156745	MESOS	2531	segfault	patch instantiate leveldbstorage registrar agent resource provider manager change introduce flaky segfault test include masterapitest subscribe mastertest unacknowledgedterminaltask reconciliationtest implicitterminaltask segfault usually happen successfully attach virtual path launch default executor noformat create sandbox executor default user root launch executor default framework resource work directory executor default queued task executor default framework launch container executor default framework successfully attach executor default virtual path executor default run late successfully attach executor default virtual path executor default run late successfully attach executor default virtual path executor default abort unix time try date gnu date version attempt spawn run process connect agent send subscribe executor sigsegv receive pid tid pid stack trace unknown unknown unknown unknown dcigettext strerror clone noformat leveldb maintain global singleton posixenv deletefile callback fail unlink ldb file use strerror report error getenv increase likelihood setenv getenv race describe worth investigate deletefile fail	['flaky-test', 'mesosphere', 'storage']	3	1	Resolved
13197999	MESOS	2531	resource provider report master reflect connected resource provider	currently master remember resource provider see report response regardless resource provider currently connect intuitive master instead report resource provider currently connect agent report disconnect resource provider	['mesosphere']	3	4	Resolved
13132332	MESOS	2531	check failure drfsorter invalid framework	framework register custom frameworkid contain slash bar trigger check failure noformat update info framework bar check fail clientpath bar foo bar noformat sorter defensive frameworkid contain slash	['allocator', 'mesosphere', 'techdebt']	3	1	Resolved
12929164	MESOS	2531	slavetest launchtaskinfowithcontainerinfo execute isolation	executing slavetest launchtaskinfowithcontainerinfo isolation fail miss cleanup code meso slavetest launchtaskinfowithcontainerinfo source directory def src mesos build directory def src mesos build run docker test docker test support non linux system bin bin curl note google test filter slavetest launchtaskinfowithcontainerinfo healthchecktest healthchecktest declineoffers hooktest slavetest slavetest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockercontainerizertest dockertest dockertest dockertest dockertest dockertest dockertest dockertest copybackendtest slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slaveandframeworkcount slavecount slavecount slavecount slavecount run test test case global test environment set test slavetest run slavetest launchtaskinfowithcontainerinfo slavetest launchtaskinfowithcontainerinfo test slavetest total global test environment tear test failure failed tests complete child process remain def src mesos build meso test slavetest launchtaskinfowithcontainerinfo def src mesos build src mesos containerizer launch executor false test test test case run total pass test fail test list failed test code	['mesosphere', 'tech-debt']	3	1	Resolved
