id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13340904	FLINK	avro confluent registry sql format support add nullable column	generate union null nullable logical type set default value null turn make impossible generate backwards compatible schema ddl statement example create table create table int null avro confluent create new table topic alter old table create table int null optionaldescription string avro confluent format read newt record insert fail optionaldescription default value	['pull-request-available']	2	1	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13583654	FLINK	return formatted nested object array array	code select return array code return code code code code jsonize collection type	['pull-request-available']	3	1	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13079687	FLINK	instable	test case instable travis	['test-stability']	2	1	Closed	3	['flink', 'test', 'table', 'java', 'create', 'use', 'support', 'class', 'currently', 'introduce']
13391510	FLINK	simplify blinkexecutorfactory stack	blinkexecutorfactory stack use old table factory stack need anymore old planner remove simplify logic	['pull-request-available']	3	7	Closed	5	['flink', 'remove', 'time', 'need', 'currently', 'error', 'class', 'new', 'test', 'fail']
13269870	FLINK	relax structured type constraint	mention order allow type extraction structured type register catalog need relax structured type concept inline anonymous structured type identify object identifi catalog fully qualified implementation class order support case class immutable type relax constraint enforce default constructor alternative have constructor fully assign field parameter name type code generation implementation create instance default constructor relatively easy	['pull-request-available']	3	7	Closed	4	['introduce', 'file', 'support', 'type', 'table', 'new', 'flink', 'need', 'java', 'class']
13486345	FLINK	batchexecutionkeyedstatebackend incorrect executionconfig create serializer	freshly construct executionconfig instead configure user environment code java public getorcreatekeyedstate typeserializer namespaceserializer statedescriptor statedescriptor throw exception namespace serializer checknotnull keyserializer state key serializer configure config operation use partition state executionconfig code correct obtain	['pull-request-available']	4	1	Closed	0	['file', 'error', 'fail', 'java', 'create', 'need', 'currently', 'type', 'table', 'remove']
13306718	FLINK	allow self reference structured type	currently logical constraint type define attribute type transitively use enforce extraction lead stack overflow throw helpful exception instead	['pull-request-available']	3	7	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13179545	FLINK	dependency problem execute sql query sql client	try run query code select value code get code error execute sql statement reason compileexception line column unknown variable type code	['pull-request-available']	1	1	Resolved	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13485655	FLINK	let write buffer spillable	column format remote dfs greatly affect performance compaction change writebuffer spillable improve performance	['pull-request-available']	3	4	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13480921	FLINK	support create table store table store	support create table store table store sink table store code java set create temporary table word string connector datagen create table word string primary key enforced cnt bigint connector table store catalog test catalog default database test rename catalog database catalog table test insert select word count group word code source table store code java set create table word string primary key enforced cnt bigint connector table store catalog test catalog default database test catalog table test create temporary table word string connector print insert select word	['pull-request-available']	4	4	Closed	3	['flink', 'test', 'table', 'java', 'create', 'use', 'support', 'class', 'currently', 'introduce']
13127930	FLINK	customcommandline non static clifrontend	well testability maintainability customcommandline registration non static clifrontend	['flip-6']	3	7	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13286486	FLINK	remove testing logic flinkdistribution	currently flinkdistribution responsible locate copy distribution usage test contain hook back log file make class bit inflexible use example flinkresource create distribution separate place suggest responsibility flinkresource implementation demote distribution simple wrapper provide programmatic access mutate interact distribution	['pull-request-available']	3	4	Closed	0	['file', 'error', 'fail', 'java', 'create', 'need', 'currently', 'type', 'table', 'remove']
13274682	FLINK	fix hive dialect limitation overwrite partition syntax	discuss remove hive dialect limitation support insert overwrite insert partition limit create table partitioned hive dialect	['pull-request-available']	2	1	Resolved	4	['introduce', 'file', 'support', 'type', 'table', 'new', 'flink', 'need', 'java', 'class']
13169712	FLINK	fail travis	code java dispatchertest time elapse sec collection size dispatchertest time elapse sec cause illegalstateexception library register job	['pull-request-available', 'test-stability']	2	1	Resolved	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13148183	FLINK	job drop job submission fail	job drop mode job submission step fail case fail fatally let dispatcher restart retry recover job	['flip-6']	1	1	Closed	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13346121	FLINK	update new type system	currently use old sink interface old type system method important api update	['pull-request-available']	3	7	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13474026	FLINK	deprecate host web port parameter	fix deprecate parameter control dynamic property subsume	['pull-request-available']	4	4	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13357754	FLINK	relax test naming constraint	issue like accident happen test add incorrect name cause run potentially hiding regression neat idea relax constrainst verify phase run end subtask test currently run potentially broken	['pull-request-available']	3	4	Closed	3	['flink', 'test', 'table', 'java', 'create', 'use', 'support', 'class', 'currently', 'introduce']
13368673	FLINK	better document distinction stop savepoint stop savepoint drain	flink project flink flink doc stable deployment job contain detail difference stop savepoint stop savepoint drain well explain semantic difference	['pull-request-available']	4	4	Closed	3	['flink', 'test', 'table', 'java', 'create', 'use', 'support', 'class', 'currently', 'introduce']
13415595	FLINK	document claim claim mode	describe different restore mode work important flip include notes write documentation	['pull-request-available']	3	7	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13194331	FLINK	flink format scala free	flink table dependency pull scala flink json flink avro aim flink format scala free dependency flink table common	['pull-request-available']	3	7	Resolved	3	['flink', 'test', 'table', 'java', 'create', 'use', 'support', 'class', 'currently', 'introduce']
13273797	FLINK	ddl tab table connector page	good support ddl sql cli think time highlight ddl document	['pull-request-available']	3	7	Resolved	4	['introduce', 'file', 'support', 'type', 'table', 'new', 'flink', 'need', 'java', 'class']
13363745	FLINK	degreeswithexceptionitcase crash		['pull-request-available', 'test-stability']	1	7	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13371934	FLINK	jobmasterstopwithsavepointitcase fail status fail	code java error failure error expect error expect error error error illegalstate error illegalstate info error test run failure error skip code	['test-stability']	2	1	Resolved	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13342290	FLINK	optimize compaction section document table filesystem sink	file big compaction use time backpressure job extend time period checkpoint explicitly warn user possibility case avoid perplexity	['pull-request-available']	2	4	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13374114	FLINK	unnecessary entry sql connector notice file	notice file flink sql connector list dependency bundle common configuration commons hbase prefix hbase	['pull-request-available']	2	7	Closed	4	['introduce', 'file', 'support', 'type', 'table', 'new', 'flink', 'need', 'java', 'class']
13324973	FLINK	remove deprecated method executionconfig	remove deprecate additionally remove ops method executionconfig enablesysoutlogge deprecate isfailtaskoncheckpointerror deprecate public operation argue break stability guarantee	['pull-request-available']	3	7	Closed	5	['flink', 'remove', 'time', 'need', 'currently', 'error', 'class', 'new', 'test', 'fail']
13365473	FLINK	refactor slicingwindowaggoperatorbuilder accept serializer instead logicaltype	slicingwindowaggoperatorbuilder accept logicaltypes well avoid logicaltype runtime operator function	['pull-request-available']	3	4	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13413158	FLINK	streamingwithstatetestbase compile later scala version	upgrade scala testing purpose work java get compile error streamingwithstatetestbase subsequence method long available array	['pull-request-available']	3	7	Closed	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13442745	FLINK	jdbc metaspace leak fix misleading	code ensure class load add driver jar flink folder add driver class list parent loaded class pattern additional code read add driver pattern additional solve issue case work driver	['pull-request-available']	3	1	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13492155	FLINK	introduce option metadata table	select key value	['pull-request-available']	3	7	Closed	4	['introduce', 'file', 'support', 'type', 'table', 'new', 'flink', 'need', 'java', 'class']
13533807	FLINK	skip closurecleaner object serialize	give object closurecleaner currently recursively dig non static transient field give object cause problem java reflective access need explicitly allow instead limit object fail serialization serialize allow avoid lot unnecessary reflection access immutable jdk class like strings bigdecimals etc etc	['pull-request-available']	3	7	Closed	0	['file', 'error', 'fail', 'java', 'create', 'need', 'currently', 'type', 'table', 'remove']
13175092	FLINK	support custom flinkkafkapartitioner kafka table sink factory	currently kafka table sink factory support custom flinkkafkapartitioner need use case	['pull-request-available']	3	7	Resolved	4	['introduce', 'file', 'support', 'type', 'table', 'new', 'flink', 'need', 'java', 'class']
13201297	FLINK	rework creation sql client connector format jar	sql client currently separate sql jar profile connector format create additional fat jar separate classifier core maven mantras artifact module importance mantra current packaging strategy make impossible provide different notice file create jar regular sql jar currently force provide file jar cause problem downstream user want handle notice file properly cause issue netty categorically claim bundle dependency force manually cut valid part proposal custom packaging strategy module depend original module use flink connector example package regular jar include dependency sql jar bundle create separate flink sql connector connector uber module module depend flink connector bundle dependency current shading logic sql jar sql jar profile add sql jar profile flink connector skip creation jar	['pull-request-available']	3	4	Closed	3	['flink', 'test', 'table', 'java', 'create', 'use', 'support', 'class', 'currently', 'introduce']
13281554	FLINK	fail travis	end end test fail code error test run failure error skip time elapse info info result info error failure error warning constant folding code	['pull-request-available', 'test-stability']	2	1	Closed	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13404250	FLINK	add flink migrationversion	currently large migrationversion need new version add serializer compatibility test	['pull-request-available']	3	4	Closed	5	['flink', 'remove', 'time', 'need', 'currently', 'error', 'class', 'new', 'test', 'fail']
13280523	FLINK	select abc work sql client	query like select abc fail sql client blink planner enable error code validationexception type table field match physical type string field tablesink consume type code reason sink properly support new type system good way define schema consume data type match update memory sink sql client work legacy type system retract upsert sink work properly new type system	['pull-request-available']	1	1	Closed	4	['introduce', 'file', 'support', 'type', 'table', 'new', 'flink', 'need', 'java', 'class']
13319108	FLINK	allow variable column name scala table api	user report scala api lack way reference column store variable string interpolation inconvenient case allow scala code valuevar code	['pull-request-available']	3	4	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13313189	FLINK	genericarraydata convert object array primitive array	throw cast exception back object array	['pull-request-available']	3	1	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13362096	FLINK	implement sql	sql expression one maybe one future implement	['pull-request-available']	3	7	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13415503	FLINK	introduce cataloglock	currently hivecatalog provide catalog lock code java interface allow source sink use global lock transaction relate thing public interface cataloglock extend closeable run catalog lock caller tell catalog database table database string table callable callable throw exception factory create cataloglock interface factory extend serializable cataloglock create code need interface set lock catalog code java source sink implement interface require cataloglock mark internal need lock general lock factory dynamictablefactory context public interface requirecataloglock void factory lockfactory code	['pull-request-available']	3	7	Closed	0	['file', 'error', 'fail', 'java', 'create', 'need', 'currently', 'type', 'table', 'remove']
13473453	FLINK	modify changelog file changelog producer	changelog file limited changelog producer type	['pull-request-available']	1	4	Closed	4	['introduce', 'file', 'support', 'type', 'table', 'new', 'flink', 'need', 'java', 'class']
13141178	FLINK	scala shell break	try run simple code build flink github master branch reason exception wonder run port fix exception follow instruction flink master branch following code java git clone flink mvn clean package build target start scala code run code java val datastream streaming finally exception code java cause jobsubmissionexception fail submit jobgraph cause completionexception connectexception connection refuse cause connectexception connection refuse method	['pull-request-available']	1	1	Resolved	3	['flink', 'test', 'table', 'java', 'create', 'use', 'support', 'class', 'currently', 'introduce']
13563714	FLINK	testingcheckpointidcounter easily lead npes	testingcheckpointidcounter builder define safe default builder parameter easily lead surprising null pointer exception test code modify method	['pull-request-available']	3	11500	In Progress	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13572433	FLINK	parse temporal table join throw cryptic exception	wrong expression type code select orders join rateshistorywithpk code throw code assertionerror convert char literal class timestampstring code simple table reference code select orders join rateshistorywithpk interval second code throw code assertionerror unique expression find prefix count code	['pull-request-available']	3	1	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13173687	FLINK	call outside main thread	jobmaster call directly method slotpool inconsistent state	['pull-request-available']	1	1	Closed	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13399727	FLINK	flink base contain copy code list notice file	xmlresponsessaxparser copy aws java sdk	['legal', 'pull-request-available']	1	1	Closed	3	['flink', 'test', 'table', 'java', 'create', 'use', 'support', 'class', 'currently', 'introduce']
13244286	FLINK	hive connector compile java	code error fail execute goal maven compiler testcompile default testcompile project flink connector compilation failure error repos flink flink connector flink connector hive src test java org apache flink batch connector hive package visible code	['pull-request-available']	1	1	Closed	3	['flink', 'test', 'table', 'java', 'create', 'use', 'support', 'class', 'currently', 'introduce']
12862445	FLINK	add abstract equal hashcode tostre method typeinformation	flink expect implementation typeinformation valid implementation hashcode equal api enforce implement method common origin bug example avoid add abstract hashcode equal method typeinformation abstract tostring method add change brake api require fix couple broken typeinformation implementation	['starter']	3	4	Closed	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13315834	FLINK	remove rowdatatypeinfo	introduce typeinformation class replace type information blink planner start remove rowdatatypeinfo	['pull-request-available']	3	7	Closed	5	['flink', 'remove', 'time', 'need', 'currently', 'error', 'class', 'new', 'test', 'fail']
13182166	FLINK	user define function literal paramter yield compileexception	user define scalar function literal parameter compileexception throw example code select float float public class myfunc extend scalarfunction public int lon float lat code result code error execute sql statement reason compileexception line column determine simple type com code problem probably cause expression reducer disappear regular attribute add parameter expression	['pull-request-available']	3	1	Closed	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13310875	FLINK	add filesystem documentation avro	add documentation avro page	['pull-request-available']	2	7	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13328719	FLINK	update api module	include update tableschema sqltooperationconverter mergetablelikeutil plan	['pull-request-available']	3	7	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13347588	FLINK	allow register new slot listener declarativeslotpool	moment possible register new slot listener declarativeslotpool creation problematic listener know time instantiate declarativeslotpool propose add registernewslotlistener method declarativeslotpool	['pull-request-available']	3	4	Closed	1	['error', 'method', 'time', 'test', 'fail', 'add', 'class', 'java', 'support', 'remove']
13481206	FLINK	page exception sortbuffermemtable	partition partition writer seize memory following exception need sure writer memory start actually memory preempt writer problem contain preemptable memory	['pull-request-available']	3	1	Closed	5	['flink', 'remove', 'time', 'need', 'currently', 'error', 'class', 'new', 'test', 'fail']
13118575	FLINK	fulfil slot request unused offer slot	slotpool add unused offer slot list available slot check pende slot request fulfil slot change	['flip-6']	3	4	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13112013	FLINK	miniclusterconfiguration immutable	miniclusterconfiguration immutable	['flip-6']	4	4	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13296452	FLINK	type information source cover datum structure	order ensure loose type information source issue add type integrity test type information converter	['pull-request-available']	3	7	Closed	2	['table', 'use', 'type', 'add', 'flink', 'create', 'fail', 'time', 'test', 'class']
13259539	FLINK	decouple leader address leadercontender	moment leadercontender need know address leader gain leadership problematic want decouple leader election actual leader component potentially create leadership gain case possible know address actual leader component gain leadership order solve problem propose change interface string second parameter leader address leader component reachable	['pull-request-available']	3	4	Closed	0	['file', 'error', 'fail', 'java', 'create', 'need', 'currently', 'type', 'table', 'remove']
13426866	FLINK	compileutil cause class leak	compileutil static cache check cache user classloaders strong reference need improve need double check	['pull-request-available']	3	7	Closed	5	['flink', 'remove', 'time', 'need', 'currently', 'error', 'class', 'new', 'test', 'fail']
13303573	FLINK	value throw stackoverflowerror	error reproduce follow code code java executionenvironment env batchtableenvironment tenv code error follow code java exception thread main stackoverflowerrorexception thread main stackoverflowerror code	['pull-request-available']	3	1	Closed	0	['file', 'error', 'fail', 'java', 'create', 'need', 'currently', 'type', 'table', 'remove']
