id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13131668	GEODE	place code access datapolicy field instead call getdatapolicy	field datapolicy abstractregion protect class directly access field instead call getdatapolicy field private access method	['pull-request-available']	3	7	Closed	113	['class', 'code', 'start', 'server', 'redis', 'assertionerror', 'failed', 'command', 'log', 'vms']
13133505	GEODE	remoteoperationmessage subclass confuse	remoteoperationmessage actually geode transaction hard figure look class claim place implementation partitionedregions throw forcereattemptexception try send message partitionedregion bucket handle exception end throw internalgemfireexception action item repackage message package remove reference partitionedregion comment stop throw forcereattemptexception change code use message transactional use message	['pull-request-available']	3	4	Closed	6	['code', 'message', 'change', 'remove', 'add', 'class', 'server', 'new', 'expect', 'fix']
13192355	GEODE	file absolute path change change	noformat file new file new noformat pre code print line relativefile object point file old code print old line dynamically change affect relative file absolute path anymore	['pull-request-available']	3	7	Resolved	47	['change', 'new', 'expect', 'code', 'line', 'invoke', 'host', 'vms', 'failed', 'server']
13210036	GEODE	mbean name loner stable member	default member geode use instead mbean name member loner cluster mutate string return runtime cacheserver gatewayreceiver create start example gatewayreceiver create geode create gatewayreceivermxbean objectname gemfire service cacheserver member parameter value contain zero membership port normally display noformat gemfire service gatewayreceiver type member noformat gatewayreceiver start geode fail update gatewayreceivermxbean state reflect run simple act start gatewayreceiver result changing replace membership port zero port gatewayreceiver listen noformat gemfire service gatewayreceiver type member noformat internally code try find exist gatewayreceivermxbean objectname return null code expect mbean null update fail later gatewayreceiver destroy fail unregister mbean	['pull-request-available']	3	1	Closed	24	['start', 'create', 'code', 'result', 'find', 'string', 'expect', 'server', 'need', 'assertionerror']
12922112	GEODE	failure	git rev build noformat error message assertionfailederror expect stacktrace assertionfailederror expect method source source source standard output previously run test membercommandsdunittest indexcommandsdunittest configcommandsdunitt functioncommandsdunitt listanddescribediskstorecommandsdunittest getcommandonregionwithcacheloaderduringcachemissdunittest listanddescriberegiondunittest usercommandsdunittest sharedconfigurationdunittest testlocatorsdunittest testfunctionsdunitt testclientidsdunittest testheapdunittest testsubscriptionsdunittest dynamicregiondunittest putallmultivmdunittest roleperformancedunittest putallcallbkremotevmdunittest clearmultivmdunittest diskdistributednoackasyncregiondunittest distributedackpersistentregionccedunittest distributedackoverflowregioncceoffheapdunittest concurrentleaveduringgiidunittest globalregionccedunittest cachelogrolldunittest noformat	['flaky', 'logwriterappender']	3	1	Closed	72	['error', 'server', 'command', 'message', 'expect', 'log', 'result', 'code', 'failed', 'host']
13392638	GEODE	radish command match redis error behaviour integer argument begin	native redis command integer argument return err value integer range argument begin current implementation command geode behave way method modify check character throw numberformatexception case alternately place want preserve exist behaviour additional bytestolongstrict method add coder class additional check	['pull-request-available', 'unreleased']	3	1	Closed	61	['command', 'redis', 'add', 'error', 'class', 'assertionerror', 'server', 'log', 'write', 'vms']
13134532	GEODE	fail intermittently	noformat persistentpartitionedregiondunittest testcleanupafterconflict failed assertionerror see conflict datum exception noformat	['flaky']	3	1	Closed	83	['failed', 'invoke', 'code', 'expect', 'vms', 'host', 'build', 'result', 'class', 'assertionerror']
12972526	GEODE	examplejsonauthorization test main	add wiki page like able reference class example	['example']	3	3	Closed	116	['add', 'class', 'log', 'server', 'redis', 'assertionerror', 'failed', 'host', 'write', 'vms']
12902211	GEODE	gfsh shutdown server result unclean shutdown certain circumstance	occasionally dev rest api enable gfsh shutdown server server shutdown cleanly exit early see frequently system property set appear problem case network partition detection enable member member crash disconnect cluster order avoid split brain	['gfsh']	4	1	Closed	63	['server', 'add', 'need', 'redis', 'assertionerror', 'failed', 'host', 'log', 'vms', 'build']
13126399	GEODE	improve gradle task checkmissedt inspect annotation	avoid repetition mistake safeguard place require correct runner corresponding appear	['pull-request-available']	3	7	Closed	22	['message', 'string', 'server', 'assertionerror', 'log', 'line', 'find', 'write', 'fix', 'result']
